pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
Kepler-1926 b,2.77,,451,9.8,42.8774173,0.2197,,0.768,,0.832,5256
Kepler-1927 b,3.126,,,34.7,73.7506501,0.38733,,1.424,,2.059,6080
Kepler-1928 b,2.41,,755,76.71,19.5777657,0.1366,,0.887,,1.173,5839
Kepler-1929 b,6.06,,876,139.22,59.3627199,0.354,,1.675,,4.015,5897
Kepler-193 b,2.44,,917,167.32,11.38839971,0.1058,,1.213,,1.137,6343
Kepler-193 c,,,,,50.69818825,,,1.12,0.09956,1.0289,6026
Kepler-1930 b,2.08,,643,40.51,13.0267964,0.1025,,0.844,,0.844,5083
Kepler-1931 b,2.049,,,51.7,38.5752965,0.23329,,1.137,,1.467,6175
Kepler-1932 b,1.22,,,2799.9,0.524176094,0.0123,,0.902,,0.801,5210
Kepler-1933 b,,,,,4.94328929,,,1.026,-0.11595,0.884144,5742.17
Kepler-1934 b,0.84,,1760,2267.35,1.419749146,0.0253,,1.061,,1.052,6187
Kepler-1935 b,64.89,,1083,324.78,3.9513822,0.0463,,0.845,,0.899,5570
Kepler-1936 b,,,,,126.5561536,,,1.28,0.45627,1.37635,6397.79
Kepler-1937 b,3.18,,1025,261.22,9.6886646,0.0941,,1.181,,1.222,6450
Kepler-1938 b,,,,,13.06243545,,,0.724,-0.64954,0.751226,4582
Kepler-1939 b,0.92,,827,110.57,2.790649339,0.0335,,0.643,,0.62,4358
Kepler-194 b,1.448,,,939.1,2.092269993,0.03137,,0.94,,0.983,5710
Kepler-194 c,,,,,17.30795548,,,1.02,0.0427,1.06547,5731
Kepler-194 d,2.4,,,,52.814973,0.275,,,,1.025,6089
Kepler-1940 b,,,,,4.95060632,,,0.9,-0.37735,0.778655,5264
Kepler-1941 b,,,,,31.3351094,,,1.23,0.43611,1.39436,6283
Kepler-1942 b,,,,,4.62602867,,,1,-0.07518,0.963936,5630
Kepler-1943 b,1.309,,,724.2,4.85026423,0.05975,,1.208,,1.592,5807
Kepler-1944 b,2.41,,801,97.62,9.84262076,0.0918,,1.064,,0.972,5585
Kepler-1945 b,1.05,,808,100.72,6.08004821,0.0597,,0.767,,0.804,4991
Kepler-1946 b,3163.54,,1143,403.53,3.035208688,0.0394,,0.887,,0.873,5505
Kepler-1947 b,1.0101666,,,,6.963630199,,,0.984,,1.686,6040
Kepler-1948 b,0.72,,399,5.98,15.5714121,0.1022,,0.585,,0.557,3872
Kepler-1949 b,0.95,,1472,1108.75,2.20829412,0.0334,,1.009,,0.989,6131
Kepler-195 b,2.22,,753,76.08,8.30784498,0.0769,,0.884,,0.791,5324
Kepler-195 c,1.85,,456,,34.09638,0.195,,0.843,,0.74,5296
Kepler-1950 b,1.15,,752,75.83,10.7769944,0.0871,,0.759,,0.852,5455
Kepler-1951 b,2.32107188,,,,20.65780067,,,0.923,,1.306,5468
Kepler-1952 b,,,,,27.21038339,,,,,,5908.74
Kepler-1953 b,,,,,6.24564633,,,0.73,-0.62962,0.755738,4621
Kepler-1954 b,1.34,,948,190.54,5.88346916,0.0625,,0.935,,0.847,5835
Kepler-1955 b,0.99,,833,113.9,14.2652558,0.1176,,1.066,,1.236,5826
Kepler-1956 b,1.08940238,,,,5.943719864,,,0.671,,0.682,4391
Kepler-1957 b,0.82,,1099,345.07,2.18659922,0.0299,,0.745,,0.772,4904
Kepler-1958 b,,,,,9.32867952,,,0.96,-0.00092,1.11067,5474
Kepler-1959 b,,,,,6.38671206,,,0.826,-0.47365,0.775895,4989
Kepler-196 b,2.1,,569,,20.74011,0.136,,0.783,,0.83,5231
Kepler-196 c,,,,,47.4277116,,,0.87,-0.39257,0.793822,5168
Kepler-196 d,5.92,,419,7.28,122.0799221,0.4698,,0.926,,1.501,5313
Kepler-1960 b,,,,,2.29794819,,,1.08,0.27069,1.29015,5938.54
Kepler-1961 b,1.11,,866,132.98,5.60473115,0.0588,,0.871,,0.777,5401
Kepler-1962 b,1.21463929,,,,7.991459846,,,1.003,,1.006,5700
Kepler-1963 b,0.83,,1448,1038.36,1.96227924,0.0298,,0.915,,0.979,5726
Kepler-1964 b,21.29,,986,223.8,2.440839436,0.0322,,0.752,,0.698,4803
Kepler-1965 b,1.25,,492,13.89,41.8681996,0.2301,,0.928,,0.837,5852
Kepler-1966 b,0.8,,668,46.93,8.61735417,0.0721,,0.67,,0.657,5013
Kepler-1967 b,1.85,,1087,329.68,7.28170196,0.0735,,0.996,,1.806,4970
Kepler-1968 b,,,,,7.28116667,,,0.76,-0.64972,0.699473,4748
Kepler-1969 b,1.72,,999,235.89,6.64752101,0.0717,,1.111,,1.007,6046
Kepler-197 b,1.112,,,441.1,5.59931973,0.05863,,0.857,,1.163,5945
Kepler-197 c,1.208,,,,10.349711,,,1.093,0.22187,1.20944,5963.52
Kepler-197 d,1.22,,,,15.677563,0.119,,,,1.12,6004
Kepler-197 e,0.9,,,,25.2099845,,,1.01,,1.17,6180
Kepler-1972 b,0.802,2.02,,,7.54425,,,1.12,0.29447,1.384,5818
Kepler-1972 c,0.586,,,198.4,11.3220104,0.10493,,1.201,,1.415,5907
Kepler-1976 b,,,,,4.959319244,,,1.02,0.04119,1.06251,5734
Kepler-1977 b,1.57,,811,102.44,4.53700111,0.0488,,0.751,,0.713,4812
Kepler-1978 b,3.17,,676,49.36,10.84965239,0.0915,,0.875,,0.779,5252
Kepler-1979 b,4.32200003,,,,18.50849915,,,1.028,,0.938,5942
Kepler-198 b,2.625,,,44.549,,,,,,0.9,5681
Kepler-198 c,2.47,,,,49.567416,0.259,,,,0.94,5574
Kepler-198 d,1.437,,,1347.6,1.31184443,0.02342,,0.995,,0.889,5681
Kepler-1980 b,2.84500003,,,,33.0257988,,,1.049,,0.99,5819
Kepler-1981 b,,,,,453.54212,,,1.07,0.24356,1.274,5883.45
Kepler-1982 b,,,,,3.82315697,,,1.31,0.37137,1.22767,6451
Kepler-1983 b,88.52,,797,95.37,7.32849062,0.0685,,0.797,,0.853,5120
Kepler-1984 b,0.69,,661,45.08,1.992812282,0.0232,,0.417,,0.4,3608
Kepler-1985 b,2.22099996,,,,3.420650005,,,0.877,,0.966,5370
Kepler-1986 b,1.69,,578,26.46,19.5489365,0.1305,,0.776,,0.729,5548
Kepler-1987 b,1.09,,945,,2.34587,0.031,,0.74,,0.67,4601
Kepler-1987 c,1.13,,812,,3.648459,0.042,,0.74,,0.67,4601
Kepler-1987 d,2.66,,744,72.38,5.644914154,0.0571,,0.799,,0.714,4769
Kepler-1987 e,1.99,,647,41.48,8.74287133,0.0764,,0.778,,0.729,4750
Kepler-1988 b,,,,,11.49500229,,,,,,5801.01
Kepler-1989 b,4.62,,904,157.97,10.16102353,0.0918,,0.999,,1.06,6032
Kepler-199 b,3.8,,709,,23.636883,0.161,,1.003,,1.16,5980
Kepler-199 c,3.51,,420,7.38,67.0930642,0.3211,,0.98,,0.882,5750
Kepler-1990 b,,,,,1.73513611,,,1.08,0.11702,1.08041,5940
Kepler-1990 c,,,,,4.06844957,,,1.08,0.11702,1.08041,5940
Kepler-1991 b,1.23,,683,,13.26107,0.107,,0.923,,0.82,5603
Kepler-1991 c,2.18,,584,27.56,22.79021423,0.1549,,0.953,,0.857,5632
Kepler-1992 b,1.081,,,68.7,15.611223,0.11683,,0.872,,1.122,5371
Kepler-1993 b,4.15,,903,157.45,26.6565737,0.1943,,1.373,,3.062,5159
Kepler-1994 b,0.51,,1032,268.27,4.61225043,0.053,,0.932,,0.961,5495
Kepler-1995 b,4.28,,375,4.66,73.7578875,0.3259,,0.847,,0.93,5029
Kepler-1996 b,1.69,,380,4.92,32.3763405,0.1726,,0.651,,0.624,4528
Kepler-1996 c,2.15,,267,1.21,92.7296775,0.3482,,0.651,,0.624,4528
Kepler-1997 b,2.44300008,,,,26.75749969,,,1.111,,1.052,6215
Kepler-1998 b,0.6,,1187,468.31,3.03267135,0.0405,,0.962,,0.921,5640
Kepler-1999 b,4282.98,,576,26.08,8.7393272,0.0712,,0.632,,0.627,4403
Kepler-20 b,,,,,3.69611757,,,0.96,-0.16451,0.914982,5489
Kepler-20 c,3.07,16.1,713,,10.854092,0.093,,0.912,-0.14874,0.944,5455
Kepler-20 d,2.62,,397,5.87,77.6115987,0.3411,,0.876,,0.925,5465
Kepler-20 e,0.784,,,,6.09853672,0.064038416,,0.942,,,
Kepler-20 f,1.03,14.3,705,,19.57706,,,0.912,-0.069,0.944,5466
Kepler-20 g,,,,,34.951009,0.205083142,,0.942,,,
Kepler-200 b,2.92,,1046,283.03,8.59479202,0.0832,,1.038,,1.277,6053
Kepler-200 c,1.516,,,114.1,10.22214214,0.09135,,0.972,,0.974,5785
Kepler-2000 b,2.34,,550,,6.38317,0.055,,0.546,,0.522,4047
Kepler-2000 c,1.4,,354,3.72,20.6181066,0.1234,,0.59,,0.56,3769
Kepler-2001 b,,,,,1.090011003,,,0.79,-0.54627,0.758905,4838
Kepler-2001 c,1.83,,570,,14.092768,0.104,,0.764,,0.69,5013
Kepler-201 b,2.73,,718,62.91,25.67212848,0.1758,,1.096,,1.24,6131
Kepler-201 c,2.55,,393,,151.886,0.588,,1.177,,1.24,6133
Kepler-202 b,1.53,,802,97.72,4.069425638,0.0449,,0.75,,0.68,4671
Kepler-202 c,1.85,,,,16.282493,0.113,,,,0.667,4668
Kepler-203 b,,,,,3.162692075,,,1.06,0.0937,1.07657,5871.24
Kepler-203 c,,,,,5.3706416,,,1.06,0.0937,1.07657,5871.24
Kepler-203 d,1.317,,,121.816,,,,,,1.041,5887
Kepler-204 b,2.43,,,,14.40094471,,,1.03,,1.11,5865
Kepler-204 c,1.79,,,,25.660593,0.173,,,,1.238,5812
Kepler-205 b,1.49,,795,,2.7556281,0.032,,0.592,,0.562,4303
Kepler-205 c,1.29,,343,3.29,20.30655662,0.1164,,0.51,,0.48,3834
Kepler-206 b,1.29,,1071,,7.7822,0.077,,1.021,,1.27,5986
Kepler-206 c,1.596,,,94.7,13.13745719,0.10742,,0.957,,1.078,5691
Kepler-206 d,1.236,,,44.17,,,,,,1.092,5691
Kepler-207 b,1.45,,,,1.611887177,,,1.2,,1.49,5989
Kepler-207 c,1.06,,1380,857.34,3.071545396,0.0423,,1.065,,1.109,6110
Kepler-207 d,3.31,,,,5.868075,0.068,,,,1.588,5920
Kepler-208 b,1.43,,1126,,4.228677,0.051,,0.963,,0.972,5845
Kepler-208 c,1.49,,1134,390.31,7.46662197,0.0778,,1.123,,1.328,6220
Kepler-208 d,1.29,,992,229.32,11.1317519,0.1015,,1.123,,1.328,6220
Kepler-208 e,1.52,,875,138.51,16.25945734,0.1306,,1.123,,1.328,6220
Kepler-209 b,3.32,,697,,16.087836,0.122,,0.931,,1,5524
Kepler-209 c,2.93,,,12.7,41.74949827,0.23335,,0.971,,0.898,5564
Kepler-21 b,1.72,,1863,,2.785819,0.043,,1.36,,2.04,6131
Kepler-210 b,,,,,2.45323508,,,0.72,-0.79874,0.637495,4564.61
Kepler-210 c,3.23,,497,14.4,7.972513469,0.064,,0.55,,0.53,3914
Kepler-211 b,2.49,,1301,677.66,4.138536769,0.0493,,0.929,,1.56,5244
Kepler-211 c,1.29,,,,6.04045,0.062,,,,0.816,5123
Kepler-212 b,0.94,,774,,16.25831,0.132,,1.166,,1.16,5913
Kepler-212 c,2.612,,,52.2,31.80474045,0.20735,,1.174,,1.448,5880
Kepler-213 b,1.21,,1290,654.26,2.462342175,0.0356,,0.994,,0.898,5822
Kepler-213 c,1.68,,1030,266.31,4.82297735,0.0558,,0.994,,0.898,5822
Kepler-214 b,1.92,,785,89.76,15.66057659,0.1242,,1.041,,0.981,6332
Kepler-214 c,1.83,,641,39.85,28.7795813,0.1864,,1.041,,0.981,6332
Kepler-215 b,1.42,,784,89.47,9.36059705,0.0844,,0.92,,0.828,5677
Kepler-215 c,1.77,,,,14.667108,0.113,,,,1.027,5739
Kepler-215 d,2.34,23.6,,,30.864,,,0.81,,1.008,
Kepler-215 e,1.75,,,,68.16101,0.314,,,,1.027,5739
Kepler-216 b,2.765,,,540.034,,,,,,1.589,6119
Kepler-216 c,2.87,,,,17.40665938,,,1.11,,1.2,6142
Kepler-217 b,2.3,,1320,,5.374851,0.067,,1.383,,1.356,6653
Kepler-217 c,1.954,,,730.808,,,,,,1.798,6554
Kepler-217 d,1.25,,1471,,3.886831,0.054,,1.383,,1.356,6653
Kepler-218 b,,,,,3.61930384,,,0.97,0.00935,1.11246,5502
Kepler-218 c,3.19,,501,,44.6991,0.248,,1.019,,1.059,5502
Kepler-218 d,2.741,,,3.8,124.5244647,0.49884,,1.067,,1.037,5594
Kepler-219 b,2.95,,,,4.585512,0.057,,,,1.491,5786
Kepler-219 c,,,,,22.71443351,,,1.03,0.2139,1.28163,5766.61
Kepler-219 d,2.232,,,19.5,47.9035211,0.27168,,1.164,,1.161,5873
Kepler-22 b,2.17,,267,1.21,289.864456,0.8489,,0.97,,0.979,5642
Kepler-220 b,0.83,,805,99.31,4.159817122,0.0456,,0.731,,0.685,4709
Kepler-220 c,1.628,,,34.1,9.034195469,0.07644,,0.729,,0.685,4665
Kepler-220 d,0.98,,,,28.122397,0.163,,,,0.666,4632
Kepler-220 e,,,,,45.90324897,,,0.699,-0.67594,0.769859,4457.96
Kepler-221 b,,,,,2.79590004,,,0.907,-0.40429,0.74895,5284.79
Kepler-221 c,3.1,,860,129.31,5.69059163,0.0586,,0.826,,0.81,5244
Kepler-221 d,2.78,,,,10.04156852,,,0.87,,0.82,5296
Kepler-221 e,,,,,18.36980907,,,0.907,-0.40429,0.74895,5284.79
Kepler-222 b,,,,,3.936995461,,,0.87,-0.33784,0.850048,5154
Kepler-222 c,4.81,,734,68.62,10.08879697,0.0898,,0.945,,0.843,5431
Kepler-222 d,3.75,,522,17.52,28.08194365,0.1777,,0.945,,0.843,5431
Kepler-223 b,1.8,,961,201.63,7.38441403,0.0717,,0.902,,1.003,5825
Kepler-223 c,,,,,9.846964538,,,1.04,0.37128,1.51701,5803
Kepler-223 d,3.77,,762,79.9,14.78769446,0.1139,,0.902,,1.003,5825
Kepler-223 e,31.46,,692,54.35,19.7240891,0.1381,,0.902,,1.003,5825
Kepler-224 b,1.5,,979,217.12,3.132951625,0.0383,,0.768,,0.699,5195
Kepler-224 c,3.42,,,,5.924991308,,,0.78,,0.71,5093
Kepler-224 d,2.56,,637,38.97,11.34933733,0.0904,,0.768,,0.699,5195
Kepler-224 e,2,,540,20.09,18.643516,0.1259,,0.768,,0.699,5195
Kepler-225 b,1.36,,464,10.96,6.73893995,0.0539,,0.46,,0.44,3682
Kepler-225 c,1.81,,330,2.79,18.79419535,0.1069,,0.46,,0.44,3682
Kepler-226 b,,,,,3.941022544,,,0.92,-0.23921,0.887751,5338
Kepler-226 c,2.883,,,163.6,5.34955671,0.05792,,0.904,,0.861,5356
Kepler-226 d,1.19,,799,96.38,8.10904671,0.0759,,0.883,,0.806,5559
Kepler-227 b,,,,,9.488031552,,,0.97,-0.12113,0.949466,5524.63
Kepler-227 c,3.1,,492,13.86,54.418464,0.286,,1.051,,1.04,5850
Kepler-228 b,1.5,,,,2.56659092,,,0.95,,0.92,5630
Kepler-228 c,,,,,4.13443512,,,1.01,0.11115,1.1757,5675
Kepler-228 d,,,,,11.09435443,,,1.01,0.11115,1.1757,5675
Kepler-229 b,,,,,6.25298062,,,0.8,-0.53795,0.752766,4881
Kepler-229 c,5.27,,571,25.07,16.06862959,0.1165,,0.827,,0.742,5126
Kepler-229 d,3.272,,,6.162,,,,,,0.719,5002
Kepler-23 b,,,,,7.107097276,,,1.06,0.39783,1.53278,5861.98
Kepler-23 c,3.2,60.2,,,10.742,,,1.08,,1.548,
Kepler-23 d,2.206,4.44,,,15.27,,,1.078,,1.548,5828
Kepler-230 b,,,,,32.62885195,,,0.92,-0.36784,0.766994,5333
Kepler-230 c,2.12,,359,3.92,91.7732862,0.3764,,0.844,,0.798,5586
Kepler-231 b,2.202,,,14.739,,,,0.65,-1.03621,0.611,4078
Kepler-231 c,1.81,,,3.29,19.27103179,,,0.64,-1.05942,0.591335,4079
Kepler-232 b,3.505,,,410.583,,,,,,1.094,5718
Kepler-232 c,3.79,,,,11.37938071,,,0.97,,0.95,5654
Kepler-233 b,,,,,8.472388541,,,0.88,-0.32754,0.85322,5175
Kepler-233 c,,,,,60.4189369,,,0.88,-0.32754,0.85322,5175
Kepler-234 b,3.12,,1420,960.79,2.711504086,0.0401,,1.169,,1.076,6214
Kepler-234 c,3.75,,,,7.21204152,,,1.11,,1.15,6003
Kepler-235 b,2.11,,,38.49,3.34022436,,,0.64,-0.99864,0.635754,4074
Kepler-235 c,,,,,7.824948973,,,0.64,-0.99864,0.635754,4074
Kepler-235 d,2.246,,,5.124,,,,0.631,-1.10237,0.591,4000
Kepler-235 e,1.79,,266,,46.18510056,0.20087,M0 V,0.51,,0.48,3887
Kepler-236 b,1.53,,462,10.8,8.29559431,0.0653,,0.54,,0.51,3750
Kepler-236 c,1.85,,325,2.62,23.9679932,0.1325,,0.54,,0.51,3750
Kepler-237 b,1.5,,824,108.84,4.71510365,0.0496,,0.733,,0.732,4861
Kepler-237 c,2.32,,,,8.10361363,,,0.81,,0.76,4952
Kepler-238 b,,,,,2.090863664,,,1,0.43048,1.72535,5630
Kepler-238 c,1.88,,980,217.72,6.15555756,0.067,,1.056,,0.963,5858
Kepler-238 d,,,,,13.23352214,,,1,0.43048,1.72535,5630
Kepler-238 e,5.71,,625,36.16,23.65368621,0.1644,,1.056,,0.963,5858
Kepler-238 f,2,,461,,50.4454,0.265,,0.97,,0.9,5779
Kepler-239 b,2.436,,,33.9,11.76305946,0.09519,,0.831,,0.759,4939
Kepler-239 c,,,,,56.22809598,,,0.78,-0.47489,0.830414,4819
Kepler-24 b,3.11,,993,229.68,8.14511872,0.0783,,0.965,,1.088,6038
Kepler-24 c,4.75,,864,131.96,12.33340885,0.1033,,0.965,,1.088,6038
Kepler-24 d,1.61,,1234,547.8,4.24437621,0.0507,,0.965,,1.088,6038
Kepler-24 e,43.17,,792,93.03,18.9985279,0.1337,,0.884,,1.24,5896
Kepler-240 b,1.37,,,,4.144495,0.048,,,,0.739,4985
Kepler-240 c,2.25,,696,55.37,7.953547,0.0712,,0.759,,0.779,4768
Kepler-241 b,,,,,12.71809081,,,,,,4524.51
Kepler-241 c,2.71,,397,5.88,36.06587916,0.1871,,0.67,,0.686,4702
Kepler-242 b,2.61,,,,8.20395,0.075,,,,0.85,5020
Kepler-242 c,2.298,,,20.6,14.49643531,0.10565,,0.748,,0.673,4876
Kepler-243 b,2.48,,842,118.57,5.71542485,0.0609,,0.921,,0.811,5228
Kepler-243 c,,,,,20.02609195,,,0.83,-0.37337,0.860119,5020
Kepler-244 b,2.87,,986,223.51,4.311779906,0.0497,,0.879,,0.802,5565
Kepler-244 c,,,,,9.76734503,,,0.95,-0.25619,0.831792,5461
Kepler-244 d,,,,,20.05018325,,,0.95,-0.25619,0.831792,5461
Kepler-245 b,2.56,,753,76.06,7.49018305,0.0703,,0.823,,0.787,5103
Kepler-245 c,2.26,,,23.7,17.46085263,0.12512,,0.856,,0.78,5105
Kepler-245 d,3.1,,465,,36.28011,0.197,,0.777,,0.8,5215
Kepler-245 e,1.92,,1088,331.28,3.219821056,0.0397,,0.804,,0.874,5257
Kepler-246 b,2.37,,906,159.41,4.601816855,0.052,,0.885,,0.811,5202
Kepler-246 c,1.56,,674,48.78,11.18714042,0.094,,0.885,,0.811,5202
Kepler-247 b,1.65,,975,213.75,3.336125104,0.042,,0.884,,0.791,5094
Kepler-247 c,4.34,,690,53.44,9.439460801,0.084,,0.884,,0.791,5094
Kepler-247 d,4.974,,,18.4,20.47735749,0.14081,,0.887,,0.788,5060
Kepler-248 b,,,,,6.308201629,,,0.88,-0.41834,0.768535,5175
Kepler-248 c,4.12,,,,16.23946714,,,0.9,,0.82,5182
Kepler-249 b,,,,,3.30654812,,,0.510238,-1.38396,0.512465,3635
Kepler-249 c,1.17,,,,7.11372736,,,0.4,,0.38,3632
Kepler-249 d,1.21,,336,3.02,15.36843606,0.0921,,0.44,,0.42,3568
Kepler-25 b,3.4,,1313,,6.2385593,0.07,,1.192,,1.66,6103
Kepler-25 c,,2.34531,,,12.7203703,,,1.148,,1.334,
Kepler-25 d,,,,,91.605187,0.416422183,,1.148,,,
Kepler-250 b,1.08,,938,182.76,4.14810719,0.0469,,0.798,,0.838,5029
Kepler-250 c,,,,,7.15682722,,,0.83,-0.45709,0.78265,5015
Kepler-250 d,2.205,,,21.463,,,,,,0.76,5007
Kepler-251 b,1.8,,1151,414.79,4.79091735,0.0546,,0.941,,1.074,5883
Kepler-251 c,3.59,,762,79.78,16.5141282,0.1245,,0.941,,1.074,5883
Kepler-251 d,4.25,,624,35.78,30.1329303,0.1859,,0.941,,1.074,5883
Kepler-251 e,3.89,,419,7.26,99.6409653,0.4126,,0.941,,1.074,5883
Kepler-252 b,,,,,6.66836145,,,0.7,-0.78566,0.678487,4458
Kepler-252 c,,,,,10.84844155,,,0.7,-0.78566,0.678487,4458
Kepler-253 b,1.69,,959,199.71,3.78403393,0.0455,,0.874,,0.79,5216
Kepler-253 c,2.65,,,,10.281951,0.089,,,,0.786,5208
Kepler-253 d,3.17,,569,24.81,18.11989364,0.1291,,0.874,,0.79,5216
Kepler-254 b,3.73,,,,5.826659194,,,0.93,,0.9,5611
Kepler-254 c,,,,,12.41199824,,,0.99,-0.12491,0.914836,5616
Kepler-254 d,,,,,18.74638647,,,0.99,-0.12491,0.914836,5616
Kepler-255 b,1.61,,878,,5.71442,0.06,,0.878,,0.8,5463
Kepler-255 c,2.9,,729,,9.946049,0.087,,0.878,,0.8,5463
Kepler-255 d,1.37,,1628,1659.82,1.045622658,0.0202,,1.009,,0.887,5569
Kepler-256 b,,,,,1.620467654,,,0.98,-0.0591,1.00285,5571
Kepler-256 c,1.79,,1209,504.25,3.388011854,0.0453,,1.075,,0.965,5936
Kepler-256 d,1.54,,973,,5.839061,0.063,,1,,0.89,5870
Kepler-256 e,1.8,,825,109.3,10.68167916,0.0973,,1.075,,0.965,5936
Kepler-257 b,2.201,,,343.6,2.382652169,0.03391,,0.916,,0.801,5118
Kepler-257 c,,,,,6.581478551,,,0.82,-0.37756,0.87259,4972
Kepler-257 d,,,,,24.66439398,,,0.82,-0.37756,0.87259,4972
Kepler-258 b,,,,,13.19728746,,,0.785,-0.57541,0.733995,4837.57
Kepler-258 c,3.17,,,,33.6529701,,,0.82,,0.77,4951
Kepler-259 b,,,,,8.11528727,,,0.99,-0.15271,0.886966,5613
Kepler-259 c,2.76,,,,36.9249531,,,0.93,,0.9,5578
Kepler-26 b,3.25,,,,12.28299972,,,0.62,,0.6,4097
Kepler-26 c,2.51,,,4.98,17.25116937,,,0.7,-1.11124,0.460589,4486
Kepler-26 d,1.13,,761,,3.543867,0.039,,0.634,,0.577,4486
Kepler-26 e,2.404,,,1.753,,,,,,0.606,3884
Kepler-260 b,2.09,,798,95.73,8.1874109,0.0776,,0.933,,0.832,5523
Kepler-260 c,1.917,,,6.775,,,,,,0.931,5541
Kepler-261 b,,,,,10.38122447,,,0.862,-0.471,0.738221,5122.5
Kepler-261 c,2,,,,24.570858,0.156,,,,0.794,5098
Kepler-262 b,1.49,,734,68.66,13.06076688,0.1075,,0.97,,0.876,5830
Kepler-262 c,1.74,,618,34.57,21.8536791,0.1515,,0.97,,0.876,5830
Kepler-263 b,2.81,,594,29.37,16.56805949,0.1195,,0.829,,0.781,5265
Kepler-263 c,2.47,,,,47.332773,0.242,,,,0.785,5265
Kepler-264 b,3.978,,,78.5,40.8068494,0.26122,,1.426,,1.957,6284
Kepler-264 c,4.16,,559,23.16,140.10394,0.5785,,1.316,,2.397,6231
Kepler-265 b,1.66,,1030,265.57,6.84619299,0.0716,,1.045,,0.983,6299
Kepler-265 c,2.54,,755,76.66,17.02902786,0.1243,,0.881,,1.067,5839
Kepler-265 d,2.49,,,,43.130617,0.236,,,,1.103,5835
Kepler-265 e,2.35,,479,12.46,67.8318309,0.3305,,1.045,,0.983,6299
Kepler-266 b,2.51,,990,226.65,6.61834191,0.0702,,1.053,,1.019,5888
Kepler-266 c,4.75,,421,7.39,107.7214092,0.4352,,0.947,,1.294,5529
Kepler-267 b,2.109,,,43.711,,,,0.592,-1.22915,0.552,3868
Kepler-267 c,2.31,,,,6.877449897,,,0.56,,0.54,3973
Kepler-267 d,,,,,28.46462805,,,0.541571,-1.21303,0.545921,3886
Kepler-268 b,,,,,25.93422438,,,1.11,0.31808,1.33236,6005.31
Kepler-268 c,,,,,83.44647143,,,1.11,0.31808,1.33236,6005.31
Kepler-269 b,2.67,,951,,5.326679,0.06,,1.04,,0.89,5602
Kepler-269 c,2.864,,,342.6,8.12810877,0.08345,,1.171,,1.633,5619
Kepler-27 b,4.94,,630,37.16,15.33525912,0.1201,,0.981,,0.863,5325
Kepler-27 c,7.24,,496,14.33,31.33050622,0.1934,,0.981,,0.863,5325
Kepler-27 d,,,,,6.54626149,,,0.94,-0.32941,0.782203,5399
Kepler-270 b,,,,,11.47609015,,,1.16,0.31211,1.26499,6142
Kepler-270 c,1.71,,756,77.24,25.2630467,0.1769,,1.156,,1.41,6071
Kepler-271 b,,,,,10.43547031,,,1,-0.25319,0.780963,5645.65
Kepler-271 c,1.02,,872,136.61,7.41086267,0.0697,,0.82,,0.895,5516
Kepler-271 d,0.67,,,187.6,5.24972541,0.05554,,0.829,,0.849,5470
Kepler-272 b,1.52,,1200,490.13,2.97136658,0.0386,,0.865,,1.004,5334
Kepler-272 c,,,,,6.05733984,,,0.97,0.06634,1.17661,5528.34
Kepler-272 d,2,,718,,10.93711,0.089,,0.79,,0.84,5289
Kepler-273 b,1.92,,1209,505.22,2.936527336,0.0383,,0.867,,1.002,5359
Kepler-273 c,1.65,,835,114.65,8.01494715,0.0721,,0.777,,0.815,5627
Kepler-274 b,2.203,,,153,11.634864,0.09642,,0.883,,1.232,5684
Kepler-274 c,1.84,,,,33.197861,0.204,,,,1.007,6023
Kepler-275 b,,,,,10.30067919,,,1.2,0.44934,1.44365,6222
Kepler-275 c,3.38,,,,16.088134,0.132,,,,1.383,6165
Kepler-275 d,,,,,35.67449258,,,1.2,0.44934,1.44365,6222
Kepler-276 b,2.69,,,,14.12846178,,,1.02,,1.03,5833
Kepler-276 c,3.7,,563,23.82,31.8841473,0.1994,,1.037,,0.974,5779
Kepler-276 d,2.74,18.4,,,48.646,,,1.1,,1.026,
Kepler-277 b,2.92,,903,,17.3244,0.139,,1.199,,1.65,5946
Kepler-277 c,3.36,,728,,33.0059,0.214,,1.199,,1.65,5946
Kepler-278 b,2.94,,693,,30.16012,0.195,,1.079,,1.83,5128
Kepler-278 c,,,,,51.0771048,,,,,2.97435,4904.79
Kepler-279 b,2.47,,941,185.73,12.3097136,0.1077,,1.097,,1.067,6781
Kepler-279 c,3.57,,660,44.88,35.7355719,0.2191,,1.097,,1.067,6781
Kepler-279 d,4.76,,,,54.4205407,,,1.32,,1.66,6488
Kepler-279 e,,,,,98.353149,,,1.42,0.5188,1.35292,6689.45
Kepler-28 b,2.41,,,,5.912268297,,,0.77,,0.71,4690
Kepler-28 c,1.94,,509,15.86,8.98584768,0.071,,0.59,,0.57,4072
Kepler-280 b,1.42,,1314,704.45,2.139556503,0.0318,,0.934,,0.856,5741
Kepler-280 c,,,,,4.807099984,,,0.95,-0.06437,1.04079,5451.96
Kepler-281 b,,,,,14.64633684,,,0.95,0.14638,1.32221,5461
Kepler-281 c,,,,,36.33755487,,,0.95,0.14638,1.32221,5461
Kepler-281 d,,654,,,148.27201,,,0.984,,1.293,
Kepler-282 b,1.363,,,195.935,,,,,,1.162,5656
